Correios Empresas - Extrato analitico de previa de fatura

CNPJ;RAZAO SOCIAL;AN8 CLIENTE;CONTRATO;DR DO CONTRATO
24.854.672/0001-22;RILIX IND COM SOFTWARE E JOGOS ELET LTDA;80661839;"9912600030  ";SE/SC

CODIGO DO CENTRO CUSTO;NOME DO CENTRO CUSTO;CARTAO DE POSTAGEM;TITULAR DO CARTAO POSTAGEM;DATA DE POSTAGEM;CODIGO DO SERVICO;DESCRICAO DO SERVICO;QUANTIDADE DE ITENS;PESO;VALOR UNITARIO DO SERVICO;VALOR DO SERVICO;NUMERO DO DOCUMENTO;ETIQUETA;VALOR DECLARADO;VALOR DO DESCONTO;CODIGO DO DESCONTO OPERACIONAL;CODIGO DO SERVICO ADICIONAL;UNIDADE DE POSTAGEM;CEP DE ORIGEM;MUNICIPIO DE ORIGEM;UF DE ORIGEM;CEP DE DESTINO;MUNICIPIO DE DESTINO;UF DE DESTINO;ALTURA;LARGURA;COMPRIMENTO;DIAMETRO;PESOREAL
80661839;RILIX BRASIL;0077610938;RILIX IND COM SOFTWARE E JOGOS ELET LTDA;2024-01-04;03220;SEDEX CONTRATO AG;1;285;24,72;24,72;0762912267;OV762912267BR;0;0;000000000000;"        ";00235215 - AGF BOA VISTA;13486971;LIMEIRA;SP;21330000;RIO DE JANEIRO;RJ;1300;2200;3000;0;2
80661839;RILIX BRASIL;0077610938;RILIX IND COM SOFTWARE E JOGOS ELET LTDA;2024-01-04;03220;SEDEX CONTRATO AG;1;147;39,17;39,17;0762912240;OV762912240BR;0;0;000000000000;"        ";00235215 - AGF BOA VISTA;13486971;LIMEIRA;SP;79500000;PARANAIBA;MS;800;1600;2400;0;1
80661839;RILIX BRASIL;0077610938;RILIX IND COM SOFTWARE E JOGOS ELET LTDA;2024-01-04;03220;SEDEX CONTRATO AG;1;1165;43,33;43,33;0762912253;OV762912253BR;0;0;000000000000;"        ";00235215 - AGF BOA VISTA;13486971;LIMEIRA;SP;96820000;;;900;1800;2700;0;11
80661839;RILIX BRASIL;0077610938;RILIX IND COM SOFTWARE E JOGOS ELET LTDA;2024-01-04;03220;SEDEX CONTRATO AG;1;2106;113,72;113,72;0762912275;OV762912275BR;0;0;000000000000;"        ";00235215 - AGF BOA VISTA;13486971;LIMEIRA;SP;64750000;PAULISTANA;PI;2600;2700;3600;0;21
80661839;RILIX BRASIL;0077610938;RILIX IND COM SOFTWARE E JOGOS ELET LTDA;2024-01-04;03220;SEDEX CONTRATO AG;1;2660;23,37;23,37;0761090366;OV761090366BR;0;0;000000000000;"        ";00062226 - AC SANTA TEREZINHA;89199972;SANTA TEREZINHA;SC;89249000;ITAPOA;SC;3100;2600;3500;0;26
80661839;RILIX BRASIL;0077610938;RILIX IND COM SOFTWARE E JOGOS ELET LTDA;2024-01-05;03220;SEDEX CONTRATO AG;1;1216;32,3;32,3;0762915250;OV762915250BR;0;0;000000000000;"        ";00235215 - AGF BOA VISTA;13486971;LIMEIRA;SP;24456000;SAO GONCALO;RJ;800;1600;1400;0;12
80661839;RILIX BRASIL;0077610938;RILIX IND COM SOFTWARE E JOGOS ELET LTDA;2024-01-08;03220;SEDEX CONTRATO AG;1;1812;20,75;20,75;0762908568;OV762908568BR;0;0;000000000000;"        ";00235215 - AGF BOA VISTA;13486971;LIMEIRA;SP;17052000;BAURU;SP;1300;2700;3700;0;18
80661839;RILIX BRASIL;0077610938;RILIX IND COM SOFTWARE E JOGOS ELET LTDA;2024-01-09;03220;SEDEX CONTRATO AG;1;952;41,25;41,25;0762913126;OV762913126BR;0;0;000000000000;"        ";00235215 - AGF BOA VISTA;13486971;LIMEIRA;SP;29902000;;;1200;2200;3000;0;9
80661839;RILIX BRASIL;0077610938;RILIX IND COM SOFTWARE E JOGOS ELET LTDA;2024-01-09;03220;SEDEX CONTRATO AG;1;1027;12,84;12,84;0762913130;OV762913130BR;0;0;000000000000;"        ";00235215 - AGF BOA VISTA;13486971;LIMEIRA;SP;13561000;SAO CARLOS;SP;1300;2200;3000;0;10
80661839;RILIX BRASIL;0077610938;RILIX IND COM SOFTWARE E JOGOS ELET LTDA;2024-01-09;03220;SEDEX CONTRATO AG;1;1032;12,84;12,84;0762913109;OV762913109BR;0;0;000000000000;"        ";00235215 - AGF BOA VISTA;13486971;LIMEIRA;SP;09910000;DIADEMA;SP;700;2400;1600;0;10
80661839;RILIX BRASIL;0077610938;RILIX IND COM SOFTWARE E JOGOS ELET LTDA;2024-01-09;03220;SEDEX CONTRATO AG;1;948;26,8;26,8;0762913112;OV762913112BR;0;0;000000000000;"        ";00235215 - AGF BOA VISTA;13486971;LIMEIRA;SP;88220000;ITAPEMA;SC;1200;2200;3000;0;9
80661839;RILIX BRASIL;0077610938;RILIX IND COM SOFTWARE E JOGOS ELET LTDA;2024-01-11;03220;SEDEX CONTRATO AG;1;165;18,09;18,09;0761090511;OV761090511BR;0;0;000000000000;"        ";00062226 - AC SANTA TEREZINHA;89199972;SANTA TEREZINHA;SC;88336000;;;500;1600;1600;0;1
